full_name;job_titel_ID;overtime_minuteses;final_payment;paymen_date
Dr. Kerry Reynolds;2;4;5;24.04.2024
Catherine Lemke;3;2;2;24.04.2024
Vernon Turcotte MD;4;0;3;24.04.2024
Jeremy McClure;5;3;3;24.04.2024
Ann Kutch DVM;6;0;3;24.04.2024
Brooke Sanford;7;2;5;24.04.2024
Alison Welch;8;1;1;24.04.2024
Natasha Thiel;9;2;0;24.04.2024
Maryann Turcotte;10;0;3;24.04.2024
Sandy Erdman V;1;3;1;24.04.2024
Nicole Raynor;2;3;3;24.04.2024
Kathy Leffler;3;4;0;24.04.2024
Mr. Edward Ullrich;4;2;1;24.04.2024
Forrest Homenick;5;0;2;24.04.2024
Ellen Bode;6;1;0;24.04.2024
Helen Pacocha;7;0;5;24.04.2024
Nicolas Hudson;8;5;5;24.04.2024
Clifton Lind;9;2;3;24.04.2024
Ms. Josefina Rutherford;10;3;1;24.04.2024
Bobby Haag;1;1;0;24.04.2024
Phyllis Hegmann;2;0;1;24.04.2024
Wendy Stroman;3;3;4;24.04.2024
Marianne Lang;4;4;0;24.04.2024
Martin Cruickshank;5;4;5;24.04.2024
Mrs. Shelley Cassin;6;1;5;24.04.2024
Kay Marvin;7;1;5;24.04.2024
Joseph Kilback;8;0;3;24.04.2024
Mark Halvorson;9;5;3;24.04.2024
Roman Kovacek;10;3;0;24.04.2024
Lester KulasJacobi;1;0;3;24.04.2024
Tommy Parisian;2;3;3;24.04.2024
Marshall Hirthe;3;3;4;24.04.2024
Eddie O'Conner;4;5;1;24.04.2024
Andy Schmeler;5;3;0;24.04.2024
Allen Zboncak;6;1;4;24.04.2024
Maurice Bergnaum;7;0;2;24.04.2024
Belinda Schamberger;8;2;0;24.04.2024
Juanita Feest;9;4;4;24.04.2024
Grady Ebert;10;1;4;24.04.2024
Earl McLaughlin;1;0;3;24.04.2024
Christine DuBuque;2;3;1;24.04.2024
Erik Stanton;3;1;5;24.04.2024
Jana Witting;4;1;1;24.04.2024
Tammy Paucek;5;4;2;24.04.2024
Antonio Heidenreich II;6;1;5;24.04.2024
Lydia Cruickshank;7;4;1;24.04.2024
Terrence Deckow;8;1;0;24.04.2024
Jody RolfsonRice;9;1;2;24.04.2024
Dan Jaskolski;10;0;5;24.04.2024
Louis Conn;1;5;2;24.04.2024
Shannon Hayes;2;5;3;24.04.2024
Lorenzo Swaniawski IV;3;3;1;24.04.2024
Alison Okuneva;4;2;1;24.04.2024
Lawrence Strosin;5;5;3;24.04.2024
Lauren Hirthe PhD;6;1;3;24.04.2024
Rex Kuhn;7;1;4;24.04.2024
Glenn Bins I;8;3;0;24.04.2024
Iris Swift;9;2;5;24.04.2024
Vicki Reichert;10;1;1;24.04.2024
Ms. Brandy LoweCrist;1;2;5;24.04.2024
Mr. Edmund Smith;2;1;3;24.04.2024
Danielle Littel;3;5;5;24.04.2024
Norman Torphy;4;4;2;24.04.2024
Harry Kohler;5;4;2;24.04.2024
Jana RogahnKutch;6;3;4;24.04.2024
Daryl WehnerBernier;7;4;5;24.04.2024
Randall RosenbaumLesch;8;5;0;24.04.2024
Hannah Streich;9;5;0;24.04.2024
Amber Mills;10;2;3;24.04.2024
Clay Kshlerin Jr.;1;4;3;24.04.2024
Wilbur Muller;2;5;4;24.04.2024
Suzanne Haley PhD;3;1;1;24.04.2024
Ann Heaney;4;0;2;24.04.2024
Kathryn Rohan;5;3;3;24.04.2024
Lila Balistreri;6;4;4;24.04.2024
Opal UllrichSwaniawski PhD;7;5;0;24.04.2024
Patricia Rice;8;4;3;24.04.2024
Louise Carter;9;2;0;24.04.2024
Theodore Gottlieb;10;0;0;24.04.2024
Dr. Frances Kessler;1;0;1;24.04.2024
Eduardo Orn;2;5;4;24.04.2024
Ms. Tricia Casper DDS;3;4;0;24.04.2024
Bryant Feest;4;2;0;24.04.2024
Bernard Schulist;5;2;5;24.04.2024
Lucy Marvin IV;6;0;0;24.04.2024
Hilda Schinner;7;5;1;24.04.2024
Dean Runolfsdottir;8;0;2;24.04.2024
Earl Franecki V;9;2;2;24.04.2024
Jerome Brown;10;4;2;24.04.2024
Alyssa Conroy;1;2;5;24.04.2024
Angelo Hegmann Sr.;2;3;0;24.04.2024
Winston Haag Sr.;3;5;0;24.04.2024
Spencer Abbott;4;3;0;24.04.2024
Alex Jast IV;5;0;1;24.04.2024
Mercedes Gottlieb III;6;5;5;24.04.2024
Ivan King;7;1;2;24.04.2024
Brenda Wiza;8;1;1;24.04.2024
Lori Larkin;9;3;0;24.04.2024
Nichole Wintheiser;10;5;2;24.04.2024
Michele MitchellLittel;1;3;1;24.04.2024
Jennie Champlin;2;4;2;24.04.2024
Barbara Jacobi;3;5;3;24.04.2024
June Greenholt;4;0;5;24.04.2024
Rebecca Kiehn;5;2;4;24.04.2024
Carlos Will;6;1;4;24.04.2024
Levi Hirthe;7;2;3;24.04.2024
Mr. Cory Schiller;8;5;2;24.04.2024
Gloria McDermott;9;0;4;24.04.2024
Elijah Pfannerstill;10;4;1;24.04.2024
Dustin Jacobs;1;2;1;24.04.2024
Jeanette Ankunding;2;3;5;24.04.2024
Annie Robel III;3;4;0;24.04.2024
Alexander Berge;4;3;1;24.04.2024
Mr. Hubert Bode;5;3;2;24.04.2024
Kurt Rohan MD;6;5;0;24.04.2024
Allen Turcotte;7;2;3;24.04.2024
Natasha Adams;8;4;4;24.04.2024
Sophia Willms;9;3;2;24.04.2024
Dwayne Rutherford;10;5;4;24.04.2024
Dr. Troy Champlin;1;0;1;24.04.2024
Gail Collins;2;2;1;24.04.2024
Tracy Jacobson;3;4;3;24.04.2024
Eula Hagenes DDS;4;5;4;24.04.2024
Rudolph Jacobi;5;2;0;24.04.2024
Miguel Muller DVM;6;2;2;24.04.2024
Ethel Huel;7;5;5;24.04.2024
Emma Schroeder;8;1;4;24.04.2024
Mona Bechtelar V;9;5;1;24.04.2024
Thomas Wolf;10;2;1;24.04.2024
Earnest Nolan;1;4;4;24.04.2024
Sue Yost Jr.;2;4;0;24.04.2024
Jerald Barton;3;1;2;24.04.2024
Herman Leffler;4;3;2;24.04.2024
Rachael Reichel;5;4;0;24.04.2024
Lela Waelchi;6;0;0;24.04.2024
Delia Oberbrunner I;7;4;5;24.04.2024
Lana Torp;8;0;2;24.04.2024
Randal Thiel;9;3;3;24.04.2024
Jim Kertzmann;10;2;5;24.04.2024
Louise Schuppe;1;4;1;24.04.2024
Ms. Genevieve Nolan;2;1;0;24.04.2024
Brian Blick;3;1;4;24.04.2024
Harold Kuvalis;4;0;4;24.04.2024
Mrs. Olga Wiza PhD;5;5;1;24.04.2024
Norman Pouros;6;0;3;24.04.2024
Jonathon Davis;7;1;5;24.04.2024
Kendra Purdy;8;4;0;24.04.2024
Arlene Osinski V;9;0;0;24.04.2024
Vicky Koch DDS;10;0;0;24.04.2024
Iris Fadel;1;2;1;24.04.2024
Bert Senger V;2;1;1;24.04.2024
Caleb Ullrich;3;3;5;24.04.2024
Alfredo Hahn;4;2;3;24.04.2024
Gerald JohnsVeum;5;1;0;24.04.2024
Essie Mraz;6;3;4;24.04.2024
Wendy Fisher;7;5;0;24.04.2024
Jodi Goodwin;8;3;2;24.04.2024
Olive Keebler;9;5;3;24.04.2024
Ella Nolan;10;0;2;24.04.2024
Trevor Kuvalis;1;3;3;24.04.2024
Eula Abernathy DDS;2;5;5;24.04.2024
Rudy Sporer MD;3;1;2;24.04.2024
Doug Jakubowski;4;1;5;24.04.2024
Kim Schaefer;5;3;0;24.04.2024
Kendra Corkery;6;2;5;24.04.2024
Ms. Kristi Walsh;7;4;3;24.04.2024
Holly Miller;8;5;3;24.04.2024
Ernesto Hartmann;9;5;5;24.04.2024
Billie Funk;10;5;0;24.04.2024
Matt Frami;1;0;5;24.04.2024
Audrey Murphy DDS;2;1;3;24.04.2024
Cameron Denesik DVM;3;5;0;24.04.2024
Marion Hoppe;4;3;2;24.04.2024
Krystal Kilback;5;2;3;24.04.2024
Leah Cassin;6;4;3;24.04.2024
Elbert Purdy;7;4;1;24.04.2024
Dr. Herbert Pagac;8;4;3;24.04.2024
Juan Boyer;9;0;0;24.04.2024
Mr. Emilio Macejkovic;10;4;3;24.04.2024
Patricia Labadie;1;0;5;24.04.2024
Rachel Lockman;2;0;3;24.04.2024
Kenneth Buckridge DDS;3;2;1;24.04.2024
Grant Kling;4;0;0;24.04.2024
Hilda Gleichner;5;3;5;24.04.2024
Terrance Reichert;6;5;1;24.04.2024
Mr. Edwin Wehner;7;1;3;24.04.2024
Andres Franey;8;2;4;24.04.2024
Earl Nikolaus;9;4;1;24.04.2024
Mr. Brad Torp;10;2;0;24.04.2024
Henry Wiegand;1;2;0;24.04.2024
Shari Goodwin;2;2;2;24.04.2024
Edmond Roob;3;0;3;24.04.2024
Whitney Leuschke V;4;3;1;24.04.2024
Alonzo Harber;5;0;1;24.04.2024
Ginger Bartell;6;3;1;24.04.2024
Dr. Brad Bayer III;7;4;0;24.04.2024
Julius Gutmann MD;8;0;3;24.04.2024
Madeline Runolfsson;9;0;4;24.04.2024
Kristopher Goodwin;10;1;0;24.04.2024
Vicki Block V;1;0;2;24.04.2024
Dr. Bobby Runte;2;4;5;24.04.2024
Jane Douglas;3;2;4;24.04.2024
Geneva Quitzon;4;3;0;24.04.2024
Sheri Mayer;5;4;5;24.04.2024
Victoria Wehner;6;4;4;24.04.2024
Elizabeth BahringerKunze;7;3;5;24.04.2024
Lynne Lebsack;8;4;2;24.04.2024
Dr. Laurie Ebert DVM;9;3;4;24.04.2024
Jennie VonRueden;10;2;5;24.04.2024
Lora Ondricka;1;4;2;24.04.2024
Randy Murphy;2;2;3;24.04.2024
Julius Jacobs;3;5;2;24.04.2024
Dr. Rudy Kuhlman Sr.;4;2;1;24.04.2024
Ms. Kristie Heaney;5;2;5;24.04.2024
Kelley Moore;6;5;3;24.04.2024
Cristina Macejkovic;7;2;0;24.04.2024
Alison Leuschke IV;8;3;4;24.04.2024
Ella Reynolds IV;9;0;2;24.04.2024
Rose Schmidt;10;0;3;24.04.2024
Tamara Quigley;1;5;5;24.04.2024
Mark ReillyPaucek;2;0;4;24.04.2024
Kenny Williamson;3;3;1;24.04.2024
Jenny Breitenberg;4;3;5;24.04.2024
Karen Metz;5;5;3;24.04.2024
Christy Balistreri;6;4;1;24.04.2024
Candace Runte;7;3;2;24.04.2024
Evan Cole;8;1;5;24.04.2024
Leroy Schinner;9;0;2;24.04.2024
Clara Jast PhD;10;3;0;24.04.2024
Lucas McLaughlin;1;0;5;24.04.2024
Lora Mayer;2;1;0;24.04.2024
Mrs. Martha Kilback PhD;3;3;2;24.04.2024
Gretchen Goodwin;4;4;2;24.04.2024
Alexander Schaefer;5;4;3;24.04.2024
Margarita CrooksZboncak;6;3;5;24.04.2024
William Homenick;7;3;2;24.04.2024
Earl Douglas DVM;8;5;5;24.04.2024
Andrew Parisian;9;1;3;24.04.2024
Lee Schiller;10;2;2;24.04.2024
Juanita Keebler;1;1;0;24.04.2024
Rickey Prohaska;2;3;5;24.04.2024
Orlando McClure;3;5;4;24.04.2024
Cynthia Considine;4;4;1;24.04.2024
Roy Koelpin;5;2;1;24.04.2024
Allan Ritchie I;6;2;2;24.04.2024
Jose Bogan IV;7;2;2;24.04.2024
Fernando Jakubowski;8;0;3;24.04.2024
Crystal Pfannerstill II;9;3;4;24.04.2024
Domingo Wisoky;10;3;3;24.04.2024
Dean Haag;1;5;5;24.04.2024
Jill Klocko;2;2;2;24.04.2024
Wesley O'Reilly;3;4;4;24.04.2024
Gustavo Denesik;4;0;0;24.04.2024
Claire Nitzsche;5;4;1;24.04.2024
Violet Roberts;6;0;4;24.04.2024
Ora Cormier;7;5;0;24.04.2024
Bill Steuber;8;5;5;24.04.2024
Ken Powlowski;9;4;4;24.04.2024
Mr. Marcus Erdman;10;1;3;24.04.2024
Beulah Schmidt;1;0;1;24.04.2024
Rosemarie AuerWelch;2;1;1;24.04.2024
Gilbert Hudson;3;5;0;24.04.2024
Vivian Vandervort;4;3;3;24.04.2024
Wade Schoen;5;3;5;24.04.2024
Garrett Kirlin;6;5;4;24.04.2024
Dr. Ray Swift;7;5;0;24.04.2024
Darryl Mante;8;5;1;24.04.2024
Rex Carter;9;3;1;24.04.2024
Kenneth Raynor;10;1;2;24.04.2024
Ricardo Conn;1;2;0;24.04.2024
Dr. Timothy Sanford;2;0;0;24.04.2024
Carmen Weimann;3;2;0;24.04.2024
Cristina Homenick;4;4;2;24.04.2024
Irving Casper;5;1;3;24.04.2024
Dr. Ross Labadie V;6;4;0;24.04.2024
Carmen Doyle DDS;7;3;5;24.04.2024
Mindy Erdman I;8;3;2;24.04.2024
Edgar Romaguera;9;1;3;24.04.2024
Mildred Zieme;10;2;5;24.04.2024
Jay Barrows;1;2;1;24.04.2024
Maurice Wunsch PhD;2;5;2;24.04.2024
Terri Weimann MD;3;5;0;24.04.2024
Hugh Osinski;4;4;1;24.04.2024
Terrance Hammes;5;3;4;24.04.2024
Melvin Lindgren;6;4;1;24.04.2024
Rodolfo Romaguera;7;1;4;24.04.2024
Earl Lind;8;3;1;24.04.2024
Dr. Nathaniel Walter;9;3;0;24.04.2024
Mr. Daniel Dietrich;10;0;4;24.04.2024
Jamie Stamm;1;5;1;24.04.2024
Grace Wehner DVM;2;5;0;24.04.2024
Wesley Schuster II;3;0;5;24.04.2024
Noel Bergstrom;4;2;3;24.04.2024
Doug Corwin;5;3;2;24.04.2024
Jorge Swift;6;4;2;24.04.2024
Ivan Trantow;7;3;2;24.04.2024
Erick Abshire;8;2;3;24.04.2024
Michelle Rolfson;9;0;5;24.04.2024
Miss Gail Krajcik;10;4;5;24.04.2024
Eva Ledner;1;0;2;24.04.2024
Carlton Marquardt;2;1;5;24.04.2024
Jack Stroman;3;5;0;24.04.2024
Dr. Reginald Schiller;4;4;4;24.04.2024
Dr. Manuel Hirthe;5;1;5;24.04.2024
Gilberto Crona PhD;6;4;0;24.04.2024
Carrie Donnelly;7;5;2;24.04.2024
Frances Bartell;8;4;3;24.04.2024
Bryant Schaefer;9;2;3;24.04.2024
Dr. Terrell Ryan;10;4;2;24.04.2024
Dora Friesen;1;0;4;24.04.2024
Brendan Brekke;2;2;1;24.04.2024
Mindy Tremblay;3;5;1;24.04.2024
Julius Pollich;4;0;1;24.04.2024
Jared Hodkiewicz;5;1;1;24.04.2024
Stanley Buckridge Sr.;6;0;1;24.04.2024
Christy Bode;7;1;2;24.04.2024
Paula Cummerata;8;3;2;24.04.2024
Derrick O'Keefe;9;2;1;24.04.2024
Gerardo VonRueden;10;4;1;24.04.2024
Evan MosciskiBauch III;1;1;3;24.04.2024
Shirley McGlynn;2;3;1;24.04.2024
Ruth DuBuque;3;2;4;24.04.2024
Mr. Dominic Lueilwitz;4;5;1;24.04.2024
Monique Reilly;5;2;5;24.04.2024
Vicki KeelingErdman;6;4;1;24.04.2024
Dr. Peter Heller;7;4;0;24.04.2024
Dr. Otis SchillerChamplin;8;2;0;24.04.2024
Joan Daniel;9;4;3;24.04.2024
Hector Kuvalis Sr.;10;5;4;24.04.2024
Willis Bahringer;1;5;1;24.04.2024
Clay Kris;2;2;0;24.04.2024
Gustavo Bechtelar;3;3;5;24.04.2024
Orville Jacobi DDS;4;2;1;24.04.2024
Paula Schiller Jr.;5;5;3;24.04.2024
Meghan Ondricka;6;2;4;24.04.2024
Sonja Yundt;7;1;0;24.04.2024
Vicky Stokes;8;5;1;24.04.2024
Carlton Effertz Jr.;9;2;4;24.04.2024
Rita KuhicLangosh;10;4;3;24.04.2024
Lamar Bednar;1;5;2;24.04.2024
Vicky Cruickshank;2;5;0;24.04.2024
Roy Rutherford;3;4;3;24.04.2024
Dominic Graham;4;4;4;24.04.2024
Randall Trantow;5;0;5;24.04.2024
Steven Schneider DDS;6;1;1;24.04.2024
Rosie Bahringer;7;4;4;24.04.2024
Alton Parker I;8;2;1;24.04.2024
Kim Rowe;9;4;3;24.04.2024
Ralph Ruecker;10;1;2;24.04.2024
Wallace Sawayn;1;1;4;24.04.2024
Debra KossSchowalter;2;0;5;24.04.2024
Wade Hagenes;3;0;5;24.04.2024
Alejandro RomagueraHodkiewicz;4;3;1;24.04.2024
Daniel Heidenreich;5;0;5;24.04.2024
Perry O'Reilly;6;2;2;24.04.2024
Lisa Pagac;7;4;4;24.04.2024
Mr. Wilfred Weissnat III;8;5;1;24.04.2024
Maria Hills;9;0;3;24.04.2024
Tim Jones;10;3;4;24.04.2024
Cassandra Schimmel;1;4;3;24.04.2024
Willie Bartell;2;5;0;24.04.2024
Bessie Ondricka I;3;4;4;24.04.2024
Jana Bogisich;4;3;3;24.04.2024
Doreen Thompson Sr.;5;4;2;24.04.2024
Jason Homenick IV;6;2;1;24.04.2024
Monique Schulist;7;2;5;24.04.2024
Willis Witting;8;3;5;24.04.2024
Wilma Brakus;9;3;3;24.04.2024
Francis StehrHahn;10;3;4;24.04.2024
Guadalupe Fisher;1;1;3;24.04.2024
Randy Paucek;2;1;0;24.04.2024
Laurie White;3;3;3;24.04.2024
Jason Mante IV;4;2;3;24.04.2024
Barbara Brown;5;0;3;24.04.2024
Bernard Wolff DVM;6;2;0;24.04.2024
Betty Auer;7;3;1;24.04.2024
Alison Boehm;8;3;4;24.04.2024
Timmy Miller;9;2;2;24.04.2024
Bill Quigley;10;5;3;24.04.2024
Dominic Grady DVM;1;5;5;24.04.2024
Lula Heidenreich PhD;2;4;0;24.04.2024
Javier Pfannerstill;3;4;2;24.04.2024
Miss Kendra PfefferCasper;4;1;1;24.04.2024
Darin Torp;5;1;3;24.04.2024
Noah O'Connell;6;5;0;24.04.2024
Kevin Ritchie;7;2;4;24.04.2024
Mario Morissette;8;1;2;24.04.2024
Tom Wuckert;9;4;4;24.04.2024
Michelle Bednar;10;0;2;24.04.2024
Herman Morissette;1;4;5;24.04.2024
Becky Purdy;2;5;1;24.04.2024
Felipe Ziemann;3;0;5;24.04.2024
Stephen Heller;4;4;2;24.04.2024
Norman Nicolas;5;3;4;24.04.2024
Cassandra Krajcik;6;4;0;24.04.2024
Amelia White;7;2;0;24.04.2024
Cassandra Wunsch;8;1;2;24.04.2024
Mrs. Monica Marks;9;4;2;24.04.2024
Kim Mayer;10;4;0;24.04.2024
Lloyd Langworth;1;3;4;24.04.2024
Malcolm Kub;2;0;2;24.04.2024
Mr. Allan Oberbrunner;3;5;0;24.04.2024
Dr. Edmond McLaughlin;4;2;2;24.04.2024
Dr. Lionel Langosh;5;3;1;24.04.2024
Nathaniel Robel;6;0;0;24.04.2024
Robin Little;7;3;1;24.04.2024
Lynn Hickle;8;3;0;24.04.2024
Damon McCullough;9;1;3;24.04.2024
Darrell Howe;10;3;4;24.04.2024
Shelley Oberbrunner;1;5;5;24.04.2024
Wade Schneider;2;2;1;24.04.2024
Felix McKenzie Sr.;3;4;4;24.04.2024
Ramona Roberts;4;0;4;24.04.2024
Donnie Mills;5;3;3;24.04.2024
Angel VonRueden;6;3;0;24.04.2024
Arnold Kuhn;7;4;3;24.04.2024
Ebony Trantow;8;5;1;24.04.2024
Dr. Vincent Kuhlman;9;5;1;24.04.2024
Krystal Kunze;10;0;4;24.04.2024
Mr. Travis Friesen;1;0;2;24.04.2024
Mr. Rufus Mertz;2;0;4;24.04.2024
Gloria Graham;3;0;0;24.04.2024
Irving NitzscheHaley;4;2;1;24.04.2024
Jeanne Will;5;2;4;24.04.2024
Howard Funk I;6;5;3;24.04.2024
Brooke Schmidt;7;0;0;24.04.2024
Jackie Walsh;8;2;1;24.04.2024
Dan Orn;9;4;1;24.04.2024
Ted Swift;10;3;1;24.04.2024
Sheryl Schinner;1;5;5;24.04.2024
Leah Bauch;2;4;5;24.04.2024
Johnnie Wyman;3;1;3;24.04.2024
Tammy Jaskolski;4;4;1;24.04.2024
Toby Hegmann;5;2;4;24.04.2024
Rochelle Moore;6;1;4;24.04.2024
Paul Dicki;7;3;3;24.04.2024
